date_time(UTC), stage(cm), discharge(cfs)
2002/07/03 21:43:00, 35.53,  7.16
2002/08/02 00:22:00, 21.95,  0.82
2002/08/14 03:21:00, 17.37,  0.12
2003/06/18 00:27:00, 53.95, 24.40
2003/06/22 00:04:00, 43.59, 15.95
2003/06/27 23:39:00, 43.28, 11.67
2003/06/28 00:24:00, 42.98, 11.67
2003/07/03 05:35:00, 41.25, 13.15
2003/07/03 06:02:00, 43.79, 13.15
2003/07/10 02:47:00, 32.36,  5.32
2004/05/14 00:46:00, 41.76, 18.12
2004/05/15 02:19:00, 47.85, 19.11
2004/05/26 05:21:00, 43.59, 15.95
2004/06/15 02:05:00, 41.76, 13.58
2004/06/22 02:16:00, 36.80,  8.60
2004/06/27 02:12:00, 35.66,  7.37
2004/07/10 01:15:00, 32.61,  4.42
2004/07/24 06:54:00, 23.77,  1.50
2005/06/11 23:43:00, 65.38, 46.82
2005/07/06 06:25:00, 82.91, 52.10
2005/07/07 02:43:00, 60.30, 33.50
2005/07/13 01:22:00, 51.51, 17.02
2005/07/21 03:00:00, 44.81, 11.88
2005/08/18 01:24:00, 32.00,  2.59
2006/06/14 18:49:00, 56.08, 30.00
2006/06/21 21:21:00, 82.91, 57.37
2006/06/22 23:07:00, 100.89, 73.35
2006/06/26 18:40:00, 69.49, 42.56
2006/06/28 22:56:00, 96.00, 70.00
2006/08/18 18:15:00, 10.00,  1.74
2006/08/24 20:36:00, 10.00,  1.48
2007/05/31 21:20:00, 34.50, 15.27
2007/06/25 18:18:00, 10.00,  1.84
2007/07/17 21:49:00,  7.50,  0.95
2008/05/27 20:50:00, 28.00,  9.27
2008/06/05 23:30:00, 50.00, 26.88
2008/06/11 18:56:00, 42.00, 19.88
2008/06/16 19:48:00, 37.00, 14.55
2008/06/23 18:25:00, 31.00, 12.20
2008/07/07 19:43:00, 17.00,  4.39
2008/07/14 18:15:00, 17.00,  4.36
2008/07/23 16:50:00, 12.00,  1.64
2008/07/28 16:35:00, 10.00,  0.78
2008/08/04 18:00:00,  9.00,  0.43
2009/06/12 20:30:00, 37.00, 16.68
2009/06/17 22:48:00, 52.00, 32.72
2009/06/22 19:37:00, 34.00, 13.53
2009/07/10 18:56:00, 18.00,  5.25
2009/07/14 23:30:00, 21.00,  6.81
2009/07/19 22:35:00, 17.50,  4.67
2009/07/24 18:47:00, 14.00,  2.34
2009/08/07 18:17:00,  8.00,  0.66
2009/08/10 19:00:00,  8.00,  0.55
2010/06/28 18:34:00, 60.00, 33.86
2010/07/07 23:34:00, 55.00, 28.94
2010/07/12 17:19:00, 33.00, 11.57
2010/07/20 17:37:00, 20.00,  5.81
2010/07/26 23:00:00, 22.00,  6.56
2010/08/03 22:30:00, 10.00,  2.05
2010/08/10 16:58:00,  8.50,  1.13
2011/08/01 19:36:00, 34.00, 12.56
2011/08/07 19:58:00, 21.00,  6.32
2012/08/28 23:30:00, 16.00,  0.50
2012/08/29 16:20:00,  4.00,  0.50
2013/08/06 21:53:00,  3.00,  0.00
2014/07/29 00:34:00,  6.00,  0.00
