date_time(UTC:PDT+7), instrument_stage(cm), instrument_stage_offset_for_0_0flow(cm), instrument_stage_converted_to_bridge_ref(ft), manual_stage_bridge_ref(ft), discharge(cfs)
2006/09/27 22:02:00,   NaN,   NaN,   NaN,   NaN,  4.59
2006/09/11 20:29:00,   NaN,   NaN,   NaN,   NaN,  7.84
2004/07/29 20:49:00, 52.31, 15.61,  0.51,   NaN, 10.92
2006/08/25 21:11:00,   NaN,   NaN,   NaN,   NaN, 12.22
2007/06/25 23:40:00,   NaN,   NaN,   NaN,   NaN, 16.56
2003/08/05 16:20:00, 51.20, 14.50,  0.48,  0.43, 19.00
2003/08/05 17:03:00, 51.52, 14.82,  0.49,  0.43, 19.00
2003/07/26 20:08:00, 54.55, 17.84,  0.59,   NaN, 21.43
2003/08/01 16:47:00, 54.69, 17.98,  0.59,   NaN, 26.17
2003/07/14 20:35:00, 53.35, 16.65,  0.55,  0.48, 29.80
2004/07/01 17:30:00, 63.60, 26.90,  0.88,   NaN, 39.08
2004/07/06 21:09:00, 61.20, 24.50,  0.80,   NaN, 41.32
2004/05/26 19:46:00, 74.58, 37.88,  1.24,   NaN, 47.94
2003/06/25 21:16:00, 62.76, 26.06,  0.85,   NaN, 69.31
2003/06/28 18:05:00, 62.52, 25.81,  0.85,   NaN, 69.59
2007/05/31 19:09:00,   NaN,   NaN,   NaN,   NaN, 85.61
2006/07/26 18:35:00, 69.67, 32.96,  1.08,   NaN, 85.90
2005/07/12 22:55:00, 83.65, 46.95,  1.54,  1.48, 87.13
2004/06/22 15:43:00, 70.88, 34.18,  1.12,   NaN, 87.72
2006/07/24 18:02:00, 72.13, 35.42,  1.16,   NaN, 95.40
2006/07/24 18:02:00, 72.13, 35.42,  1.16,   NaN, 96.40
2006/07/18 23:55:00, 72.32, 35.61,  1.17,   NaN, 97.80
2004/05/27 22:22:00, 80.25, 43.54,  1.43,   NaN, 149.12
2003/06/18 23:21:00, 75.51, 38.81,  1.27,   NaN, 158.16
2005/06/10 17:53:00, 85.32, 48.62,  1.60,  1.48, 203.30
2005/06/17 19:30:00, 85.90, 49.20,  1.61,  1.73, 272.29
2006/06/15 18:02:00, 82.39, 45.68,  1.50,   NaN, 275.00
2006/06/27 15:36:00, 85.90, 49.20,  1.61,   NaN, 321.00
2006/06/27 16:16:00, 85.26, 48.56,  1.59,   NaN, 321.00
2005/06/16 21:59:00, 89.97, 53.27,  1.75,   NaN, 329.56
2006/06/22 19:12:00, 85.12, 48.42,  1.59,   NaN, 381.00
2006/06/20 21:11:00, 85.22, 48.52,  1.59,   NaN, 405.00
2006/06/28 20:36:00, 89.60, 52.90,  1.74,   NaN, 424.00
2003/06/18 23:36:00, 75.64, 38.94,  1.28,   NaN,   NaN
2003/06/18 23:56:00, 75.77, 39.07,  1.28,  1.45,   NaN
2003/06/18 23:42:00, 75.68, 38.98,  1.28,  1.45,   NaN
2003/06/25 19:29:00, 62.90, 26.19,  0.86,   NaN,   NaN
2003/06/28 17:13:00, 62.60, 25.90,  0.85,   NaN,   NaN
2002/07/04 00:13:00, 64.01, 27.31,  0.90,   NaN,   NaN
2002/08/01 19:23:00, 48.27, 11.57,  0.38,   NaN,   NaN
2002/08/13 21:54:00, 43.00,  6.30,  0.21,   NaN,   NaN
2002/08/29 17:51:00, 47.32, 10.62,  0.35,   NaN,   NaN
2002/09/17 20:38:00, 47.45, 10.74,  0.35,   NaN,   NaN
2003/07/14 19:34:00, 52.54, 15.84,  0.52,  0.57,   NaN
2003/07/18 22:50:00, 55.73, 19.03,  0.62,   NaN,   NaN
2003/07/26 19:20:00, 54.43, 17.73,  0.58,  0.56,   NaN
2004/05/14 21:52:00, 80.55, 43.85,  1.44,   NaN,   NaN
2004/06/22 18:27:00, 69.36, 32.66,  1.07,  1.03,   NaN
2004/06/23 17:20:00, 69.73, 33.03,  1.08,   NaN,   NaN
2004/06/30 22:50:00, 63.07, 26.36,  0.86,   NaN,   NaN
2005/06/09 22:48:00, 83.04, 46.34,  1.52,  1.43,   NaN
