date(yyyy/mm/dd), Estimated_unimpaired_flow_into_HetchHetchy(cubic_meters_per_second)
1969/10/01,  2.49
1969/10/02,  2.31
1969/10/03,  2.27
1969/10/04,  2.44
1969/10/05,  2.27
1969/10/06,  2.21
1969/10/07,  2.18
1969/10/08,  1.93
1969/10/09,  1.93
1969/10/10,  2.01
1969/10/11,  2.21
1969/10/12,  1.81
1969/10/13,  1.42
1969/10/14,  1.93
1969/10/15,  9.61
1969/10/16, 36.52
1969/10/17, 27.18
1969/10/18, 15.57
1969/10/19, 10.48
1969/10/20,  8.78
1969/10/21,  8.49
1969/10/22,  9.06
1969/10/23,  7.08
1969/10/24,  8.78
1969/10/25,  8.49
1969/10/26,  7.64
1969/10/27,  7.64
1969/10/28,  6.23
1969/10/29,  5.38
1969/10/30,  5.38
1969/10/31,  5.10
1969/11/01,  5.10
1969/11/02,  5.80
1969/11/03,  7.08
1969/11/04,  5.89
1969/11/05,  7.08
1969/11/06,  7.36
1969/11/07,  6.91
1969/11/08,  7.64
1969/11/09,  7.08
1969/11/10,  7.08
1969/11/11,  6.85
1969/11/12,  6.85
1969/11/13,  6.80
1969/11/14,  6.80
1969/11/15,  8.49
1969/11/16, 11.89
1969/11/17, 10.76
1969/11/18,  7.36
1969/11/19,  6.00
1969/11/20,  5.75
1969/11/21,  5.32
1969/11/22,  5.38
1969/11/23,  4.84
1969/11/24,  4.53
1969/11/25,  4.67
1969/11/26,  4.11
1969/11/27,  4.11
1969/11/28,  3.71
1969/11/29,  3.75
1969/11/30,  3.40
1969/12/01,  2.97
1969/12/02,  2.58
1969/12/03,  2.55
1969/12/04,  2.58
1969/12/05,  2.24
1969/12/06,  2.27
1969/12/07,  2.58
1969/12/08,  2.38
1969/12/09,  2.35
1969/12/10,  2.38
1969/12/11,  2.21
1969/12/12,  2.50
1969/12/13,  2.27
1969/12/14,  2.10
1969/12/15,  2.21
1969/12/16,  2.10
1969/12/17,  2.49
1969/12/18,  2.55
1969/12/19,  8.21
1969/12/20, 49.26
1969/12/21, 67.67
1969/12/22, 35.39
1969/12/23, 25.20
1969/12/24, 20.67
1969/12/25, 52.10
1969/12/26, 25.48
1969/12/27, 16.14
1969/12/28, 12.17
1969/12/29, 10.19
1969/12/30, 10.19
1969/12/31,  8.78
1970/01/01,  7.64
1970/01/02,  6.80
1970/01/03,  6.23
1970/01/04,  6.51
1970/01/05,  5.66
1970/01/06,  5.66
1970/01/07,  5.38
1970/01/08,  3.71
1970/01/09, 16.70
1970/01/10, 19.82
1970/01/11, 15.01
1970/01/12,  8.59
1970/01/13, 13.87
1970/01/14, 24.92
1970/01/15, 24.07
1970/01/16, 150.62
1970/01/17, 80.97
1970/01/18, 38.79
1970/01/19, 29.45
1970/01/20, 27.75
1970/01/21, 137.03
1970/01/22, 95.98
1970/01/23, 56.91
1970/01/24, 46.72
1970/01/25, 35.11
1970/01/26, 27.46
1970/01/27, 30.58
1970/01/28, 24.35
1970/01/29, 19.20
1970/01/30, 17.58
1970/01/31, 15.57
1970/02/01, 14.72
1970/02/02, 12.91
1970/02/03, 12.83
1970/02/04, 13.59
1970/02/05, 13.87
1970/02/06, 13.31
1970/02/07, 13.59
1970/02/08, 16.70
1970/02/09, 19.25
1970/02/10, 14.44
1970/02/11, 14.16
1970/02/12, 14.44
1970/02/13, 13.59
1970/02/14, 16.70
1970/02/15, 15.29
1970/02/16, 14.72
1970/02/17, 13.02
1970/02/18, 14.16
1970/02/19, 13.87
1970/02/20, 13.31
1970/02/21, 12.74
1970/02/22, 12.17
1970/02/23, 10.19
1970/02/24, 10.65
1970/02/25, 10.93
1970/02/26, 11.42
1970/02/27, 12.23
1970/02/28, 13.87
1970/03/01, 13.59
1970/03/02, 14.44
1970/03/03, 13.87
1970/03/04, 13.59
1970/03/05, 13.02
1970/03/06, 13.87
1970/03/07, 13.87
1970/03/08, 14.16
1970/03/09, 14.16
1970/03/10, 13.59
1970/03/11, 13.87
1970/03/12, 13.31
1970/03/13, 13.59
1970/03/14, 18.12
1970/03/15, 22.65
1970/03/16, 20.39
1970/03/17, 16.99
1970/03/18, 16.70
1970/03/19, 13.87
1970/03/20, 12.67
1970/03/21, 14.50
1970/03/22, 17.33
1970/03/23, 21.58
1970/03/24, 21.86
1970/03/25, 27.75
1970/03/26, 28.31
1970/03/27, 27.75
1970/03/28, 26.29
1970/03/29, 23.78
1970/03/30, 22.08
1970/03/31, 18.69
1970/04/01, 16.70
1970/04/02, 18.57
1970/04/03, 18.97
1970/04/04, 20.67
1970/04/05, 27.67
1970/04/06, 30.01
1970/04/07, 36.27
1970/04/08, 35.39
1970/04/09, 32.84
1970/04/10, 37.94
1970/04/11, 47.17
1970/04/12, 43.32
1970/04/13, 37.94
1970/04/14, 30.86
1970/04/15, 25.07
1970/04/16, 22.80
1970/04/17, 21.40
1970/04/18, 21.37
1970/04/19, 20.95
1970/04/20, 19.82
1970/04/21, 17.55
1970/04/22, 16.14
1970/04/23, 16.14
1970/04/24, 15.57
1970/04/25, 20.48
1970/04/26, 25.17
1970/04/27, 23.98
1970/04/28, 19.19
1970/04/29, 19.02
1970/04/30, 19.84
1970/05/01, 27.41
1970/05/02, 31.77
1970/05/03, 44.48
1970/05/04, 64.75
1970/05/05, 75.46
1970/05/06, 75.40
1970/05/07, 58.61
1970/05/08, 55.21
1970/05/09, 53.79
1970/05/10, 52.66
1970/05/11, 61.16
1970/05/12, 44.73
1970/05/13, 47.28
1970/05/14, 72.97
1970/05/15, 114.40
1970/05/16, 138.98
1970/05/17, 161.10
1970/05/18, 160.53
1970/05/19, 154.87
1970/05/20, 122.38
1970/05/21, 117.04
1970/05/22, 134.51
1970/05/23, 152.89
1970/05/24, 148.36
1970/05/25, 144.68
1970/05/26, 156.57
1970/05/27, 146.09
1970/05/28, 136.75
1970/05/29, 132.50
1970/05/30, 139.86
1970/05/31, 153.45
1970/06/01, 146.09
1970/06/02, 150.62
1970/06/03, 155.72
1970/06/04, 146.66
1970/06/05, 126.56
1970/06/06, 119.48
1970/06/07, 113.25
1970/06/08, 130.24
1970/06/09, 153.45
1970/06/10, 101.40
1970/06/11, 74.75
1970/06/12, 70.50
1970/06/13, 59.76
1970/06/14, 52.36
1970/06/15, 38.62
1970/06/16, 49.78
1970/06/17, 67.37
1970/06/18, 91.74
1970/06/19, 107.59
1970/06/20, 109.57
1970/06/21, 115.52
1970/06/22, 118.06
1970/06/23, 105.61
1970/06/24, 99.38
1970/06/25, 89.19
1970/06/26, 85.22
1970/06/27, 115.21
1970/06/28, 80.01
1970/06/29, 52.66
1970/06/30, 43.60
1970/07/01, 43.88
1970/07/02, 44.73
1970/07/03, 47.28
1970/07/04, 42.75
1970/07/05, 52.10
1970/07/06, 49.26
1970/07/07, 45.51
1970/07/08, 42.75
1970/07/09, 39.07
1970/07/10, 35.11
1970/07/11, 32.12
1970/07/12, 30.85
1970/07/13, 27.47
1970/07/14, 27.52
1970/07/15, 28.31
1970/07/16, 24.46
1970/07/17, 21.80
1970/07/18, 20.95
1970/07/19, 20.67
1970/07/20, 19.82
1970/07/21, 18.40
1970/07/22, 16.99
1970/07/23, 15.09
1970/07/24, 13.30
1970/07/25, 12.74
1970/07/26, 11.33
1970/07/27, 10.76
1970/07/28,  9.34
1970/07/29,  7.62
1970/07/30,  7.20
1970/07/31,  6.46
1970/08/01,  5.95
1970/08/02,  5.38
1970/08/03,  5.66
1970/08/04,  5.38
1970/08/05,  5.10
1970/08/06,  4.53
1970/08/07,  4.53
1970/08/08,  3.40
1970/08/09,  2.83
1970/08/10,  3.40
1970/08/11,  2.26
1970/08/12,  3.40
