Year,Month,Day,Hour (in GMT),Minute,Second,Depth raw (cm),Temperature (deg C),"Depth (baro-corrected, cm)",Discharge (cfs or ft^3/s)
2001,8,17,19,0,0,92,23.58,NaN,NaN
2001,8,17,19,30,0,92.1,24.68,NaN,NaN
2001,8,17,20,0,0,92.2,26.08,NaN,NaN
2001,8,17,20,30,0,91.3,27.55,NaN,NaN
2001,8,17,21,0,0,91.4,29.31,NaN,NaN
2001,8,17,21,30,0,90.8,31.44,NaN,NaN
2001,8,17,22,0,0,88.2,32.68,NaN,NaN
2001,8,17,22,30,0,87.5,33.11,NaN,NaN
2001,8,17,23,0,0,87.4,32.56,NaN,NaN
2001,8,17,23,30,0,87.7,30.27,NaN,NaN
2001,8,18,0,0,0,87.7,29.84,NaN,NaN
2001,8,18,0,30,0,88,29.78,NaN,NaN
2001,8,18,1,0,0,87.5,30.28,NaN,NaN
2001,8,18,1,30,0,87.8,30.24,NaN,NaN
2001,8,18,2,0,0,87.2,28.07,NaN,NaN
2001,8,18,2,30,0,87.3,25.92,NaN,NaN
2001,8,18,3,0,0,87.4,24.83,NaN,NaN
2001,8,18,3,30,0,88,24.02,NaN,NaN
2001,8,18,4,0,0,88.4,23.23,NaN,NaN
2001,8,18,4,30,0,91.2,22.33,NaN,NaN
2001,8,18,5,0,0,91.4,20.7,NaN,NaN
2001,8,18,5,30,0,91.5,19.9,NaN,NaN
2001,8,18,6,0,0,91.2,19.44,NaN,NaN
2001,8,18,6,30,0,91.6,18.96,NaN,NaN
2001,8,18,7,0,0,91.7,18.4,NaN,NaN
2001,8,18,7,30,0,91.5,17.77,NaN,NaN
2001,8,18,8,0,0,91.4,17.12,NaN,NaN
2001,8,18,8,30,0,91.4,16.44,NaN,NaN
2001,8,18,9,0,0,91.7,15.75,NaN,NaN
2001,8,18,9,30,0,91.5,14.98,NaN,NaN
2001,8,18,10,0,0,91.4,14.34,NaN,NaN
2001,8,18,10,30,0,91.4,13.66,NaN,NaN
2001,8,18,11,0,0,91.5,13.02,NaN,NaN
2001,8,18,11,30,0,91.2,12.37,NaN,NaN
2001,8,18,12,0,0,91.1,11.75,NaN,NaN
2001,8,18,12,30,0,91.1,11.14,NaN,NaN
2001,8,18,13,0,0,91.2,10.58,NaN,NaN
2001,8,18,13,30,0,91.2,10.06,NaN,NaN
