station_m,elevation_m
1.9812,0.8096
3.048,0.56576
3.9624,0.47432
4.8768,0.38288
5.7912,0.38288
6.7056,0.38288
7.62,0.38288
8.5344,0.41336
9.4488,0.47432
10.3632,0.5048
11.2776,0.5048
12.192,0.56576
13.1064,0.59624
14.0208,0.62672
14.9352,0.53528
15.8496,0.53528
16.764,0.5048
17.6784,0.47432
18.5928,0.44384
19.5072,0.38288
20.4216,0.23048
20.4216,0.23048
21.336,0.2
21.336,0.2
22.2504,0.23048
22.2504,0.23048
23.1648,0.23048
23.1648,0.23048
24.0792,0.3524
24.9936,0.3524
25.908,0.62672
26.8224,0.6572
27.7368,0.6572
28.6512,0.59624
29.5656,0.53528
30.48,0.44384
31.3944,0.41336
32.3088,0.32192
33.2232,0.3524
33.528,0.3524
