date_GMT(LDTplus7), stage_upstream_solinst(cm), stage_downstream_solinst(cm), water_temperature(degC), discharge(cfs),discharge_used(cfs)
6/10/02 18:20,   NaN,90.2,4.8,205.9,205.9
6/10/02 19:05,   NaN,91.5,5.8,   NaN,   NaN
7/3/02 23:24,   NaN,75.14,15.7,   NaN,   NaN
8/2/02 16:22,   NaN,47.04,13.6,   NaN,   NaN
8/13/02 22:31,   NaN,40.61,21.4,   NaN,   NaN
8/29/02 17:32,   NaN,30.12,13.9,   NaN,   NaN
9/17/02 19:46,   NaN,24.71,18.9,   NaN,   NaN
6/17/03 23:20,   NaN,123.27,10.3,   NaN,   NaN
6/18/03 21:22,   NaN,112.69,10.1,318.1,318.1
6/18/03 22:22,   NaN,117.61,10.7,   NaN,   NaN
6/18/03 22:44,   NaN,118.88,   NaN,   NaN,   NaN
6/18/03 22:56,   NaN,119.12,   NaN,   NaN,   NaN
6/18/03 23:12,   NaN,119.6,   NaN,   NaN,   NaN
6/25/03 16:45,   NaN,79.6,5.7,   NaN,   NaN
6/25/03 18:14,   NaN,79.61,7.5,134.25,134.25
6/28/03 20:31,   NaN,91.93,11.4,   NaN,   NaN
6/28/03 21:28,   NaN,91.87,12.6,169.13,169.13
7/7/03 22:12,   NaN,76.46,14.2,   NaN,   NaN
7/7/03 23:07,   NaN,75.27,14.7,101.94,101.94
7/14/03 17:47,   NaN,68.62,11.5,   NaN,   NaN
7/14/03 18:37,   NaN,68.12,12.4,79.08,79.08
7/17/03 16:58,   NaN,69.94,12.4,   NaN,   NaN
7/25/03 17:27,   NaN,68.43,13.2,   NaN,   NaN
7/25/03 18:25,   NaN,67.55,13.8,70.98,70.98
8/5/03 14:36,   NaN,54.06,9.9,39.12,39.12
8/5/03 15:26,   NaN,54.91,9.7,39.12,39.12
5/14/04 20:31,   NaN,95.6,7.4,   NaN,   NaN
5/26/04 23:30,   NaN,84.3,10,143.53,143.53
5/27/04 23:43,   NaN,104.19,11.1,257.1,257.1
6/6/04 22:30,   NaN,105.6,12.1,   NaN,   NaN
6/22/04 18:45,   NaN,88.1,9.9,153.13,153.13
6/23/04 18:07,   NaN,91.53,   NaN,   NaN,   NaN
7/6/04 17:38,   NaN,81.48,11.5,125.36,125.36
7/12/04 22:25,   NaN,62.57,17.8,   NaN,   NaN
7/16/04 19:30,   NaN,63.4,16.2,67.38,67.38
7/23/04 19:00,   NaN,56.4,16.7,48.58,48.58
7/29/04 19:03,   NaN,48.97,-99,15.61,15.61
8/13/04 22:19,   NaN,48.6,17.6,   NaN,   NaN
8/24/04 16:57,   NaN,36.27,12.4,16.86,16.86
6/10/05 19:25,   NaN,118.15,6.5,332.94,332.94
6/11/05 23:40,   NaN,132.53,   NaN,   NaN,   NaN
6/14/05 23:30,   NaN,142.3,   NaN,677.19,677.19
6/15/05 20:23,   NaN,138.51,7.2,536.21,536.21
6/16/05 22:22,   NaN,133.29,7.9,493.17,493.17
6/17/05 18:00,   NaN,117.5,4,367.31,367.31
7/6/05 22:39,   NaN,131.54,10.7,   NaN,   NaN
7/11/05 22:18,   NaN,122.29,12,169.24,   NaN
7/12/05 21:00,   NaN,121.63,   NaN,169.15,   NaN
7/20/05 22:01,   NaN,98.03,   NaN,93.68,   NaN
8/1/05 21:12,   NaN,75.76,14.4,121.25,121.25
8/17/05 21:38,   NaN,63.21,12.4,64.17,64.17
8/20/05 23:20,   NaN,54.2,17.1,   NaN,   NaN
8/30/05 17:52,   NaN,46.92,   NaN,   NaN,   NaN
8/30/05 19:00,   NaN,47.3,9.8,29.87,29.87
9/3/05 0:17,   NaN,40.97,   NaN,   NaN,   NaN
9/16/05 16:10,19.67,26.1,   NaN,   NaN,   NaN
10/28/05 22:45,21.05,27.35,6.1,   NaN,   NaN
6/13/06 18:43,88.27,130.04,   NaN,   NaN,   NaN
6/13/06 20:47,87.8,128.14,   NaN,   NaN,   NaN
6/13/06 21:13,88.14,127.88,   NaN,   NaN,   NaN
6/15/06 19:12,78.4,114.8,   NaN,322,322
6/16/06 18:40,86.07,126.9,   NaN,   NaN,   NaN
6/20/06 2:56,116.35,158.16,   NaN,   NaN,   NaN
6/20/06 22:13,94.85,133.52,   NaN,554,554
6/21/06 2:05,108.73,152.2,   NaN,   NaN,   NaN
6/21/06 3:47,112.81,156.6,   NaN,762,762
6/22/06 17:06,99.4,142.32,5,595,595
6/22/06 17:57,97.52,140.81,   NaN,595,595
6/27/06 0:24,108.06,151.18,8,735,735
6/27/06 1:28,110.74,154.09,   NaN,735,735
6/27/06 16:44,94.91,136.43,4.9,530,530
6/27/06 17:29,93.54,135.06,   NaN,530,530
6/28/06 21:35,110.9,155.45,7,768,768
6/28/06 21:35,110.9,155.45,   NaN,765,765
6/28/06 21:57,111.34,155.23,   NaN,768,768
6/29/06 16:26,96.81,139.11,4,559,559
6/29/06 16:30,96.7,139.1,   NaN,559,559
6/29/06 17:20,95.03,138.33,   NaN,559,559
7/24/06 16:15,69.6,104.35,   NaN,253,253
7/24/06 16:15,69.6,104.35,   NaN,262,262
