date_time(UTC:PDT+7), solinst_stage(cm), solinst_stage(ft), manual_stage(cm), manual_stage(ft), flags(1=manual_excluded_from_rating_curve:2=solinst_excluded_from_rating_curve:3=discharge_from_Dana_and_Lyell_stage_time_approximate), discharge(cfs)
2002/09/17 21:55:00, 78.63,  2.58,   NaN,   NaN,  1, 10.27
2002/08/28 21:35:00, 81.45,  2.67,   NaN,   NaN,  1, 12.77
2002/08/29 18:58:00, 82.14,  2.69,   NaN,   NaN,  1, 21.29
2004/07/29 22:30:00, 94.90,  3.11, 94.10,  3.09,  0, 23.33
2004/08/14 20:43:00, 93.60,  3.07, 91.66,  3.01,  0, 43.22
2003/08/05 19:12:00, 98.40,  3.23, 96.13,  3.15,  0, 59.36
2004/07/22 17:39:00, 100.92,  3.31, 105.08,  3.45,  0, 77.40
2005/08/18 00:01:00, 110.69,  3.63, 107.82,  3.54,  0, 95.57
2003/07/17 22:41:00, 109.01,  3.58, 108.83,  3.57,  0, 101.95
2004/07/13 15:20:00, 104.73,  3.44, 103.25,  3.39,  0, 105.93
2003/07/09 18:37:00, 115.89,  3.80, 115.18,  3.78,  0, 139.03
2003/07/28 15:41:00, 127.88,  4.20, 116.45,  3.82,  2, 154.02
2004/06/26 17:00:00, 128.30,  4.21, 129.15,  4.24,  0, 214.95
2004/06/22 22:07:00, 128.20,  4.21, 132.33,  4.34,  0, 225.52
2003/07/01 18:20:00, 129.07,  4.23, 128.24,  4.21,  0, 242.00
2004/06/21 17:12:00, 134.04,  4.40, 134.33,  4.41,  0, 254.50
2006/07/26 16:16:00, 134.58,  4.42, 139.82,  4.59,  0, 306.05
2006/07/24 20:21:00, 138.72,  4.55, 144.39,  4.74,  0, 320.10
2003/06/20 16:40:00, 151.74,  4.98, 153.54,  5.04,  0, 417.30
2003/06/20 16:47:00, 151.59,  4.97, 153.54,  5.04,  0, 422.20
2003/06/20 18:59:00, 148.47,  4.87, 153.54,  5.04,  0, 424.00
2005/06/09 21:52:00, 156.56,  5.14, 154.76,  5.08,  0, 438.40
2005/06/10 16:48:00, 172.20,  5.65, 168.78,  5.54,  0, 604.07
2006/06/15 16:48:00, 168.12,  5.52, 174.57,  5.73,  0, 605.00
2005/06/10 01:48:00, 168.34,  5.52, 167.25,  5.49,  0, 608.84
2006/06/14 19:26:00, 167.61,  5.50, 168.78,  5.54,  0, 623.00
2005/06/18 01:00:00, 178.60,  5.86, 177.31,  5.82,  0, 653.35
2006/06/30 22:05:00, 172.92,  5.67, 179.95,  5.90,  0, 671.00
