NumberID,Site_name,latitude,longitude,elevation(m),site_type,alternate_site_ID
1,Budd Ck,37.873,-119.382,2593,tidbit,T01
2,Dana Ck,37.876,-119.333,2639,tidbit,T02
3,Lyell Fork (Blw Twin Br),37.869,-119.334,2642,hobo,TH03
4,Rafferty Ck,37.867,-119.322,2655,hobo,TH04
5,Conness/Glen Aulin,37.910,-119.420,2399,hobo,TH08
6,Parker Pass Ck,37.878,-119.247,2928,hobo,T09/TH09
7,Gaylor Ck,37.879,-119.302,2930,hobo,TH10
8,Lyell Fk abv Merced,37.702,-119.347,2438,hobo,TH11
9,Merced abv Lyell Fk,37.697,-119.348,2438,hobo,TH12
10,Merced blw Lyell Fk,37.702,-119.349,2377,hobo,TH13
11,Illillouette Ck,37.723,-119.558,1676,hobo,TH14
12,Merced blw Echo,37.738,-119.449,2134,hobo,TH15
13,Merced Pk Fk Footbridge,37.693,-119.350,2486,hobo,TH18
14,Merced abv Merced Lk HSC,37.738,-119.403,2207,hobo,TH19
15,Vogelsang (Fletcher Lk inlet),37.797,-119.339,3109,hobo,TH31
16,Lyell abv Ireland,37.826,-119.277,2704,hobo,T32/TH32
17,Lyell at Maclure Bridge,37.778,-119.261,2947,tidbit,T34
18,Upper Gaylor Lake,37.921,-119.269,3206,tidbit,T36
19,Tioga Lake,37.929,-119.252,2940,tidbit,T_E2950
20,Ellery Lake WX Station,37.938,-119.237,2902,hobo,TH_E2902/T_E2902
21,120 Overlook/don'tfencemein,37.946,-119.226,2772,tidbit,T_E2772
22,Warren Ck abv Tioga Rd,37.953,-119.226,2759,hobo,TH_E2759
23,Tioga Road Rill,37.951,-119.202,2610,tidbit,T_E2610
24,8KE Contour,37.945,-119.184,2478,hobo,TH_E2478
25,Poole Power Plant,37.944,-119.214,2374,tidbit,T_E2374
26,End of Pavement,37.941,-119.193,2317,tidbit,T_E2317
27,Tioga Pass Gate/Power Plant Rd,37.930,-119.167,2255,hobo,TH_E2255
28,Aspen Grove,37.934,-119.153,2244,tidbit,T_E2244
29,Mobil Station,37.946,-119.116,2119,tidbit,T_E2119
30,Porcupine Flat T18 Turnout,37.806,-119.555,2495,hobo,TH_W2495
31,Tenaya Lake,37.838,-119.452,2487,hobo,TH_W2487
32,8KW Contour,37.845,-119.681,2438,hobo,TH_W2438
33,T14 Ridge,37.840,-119.591,2395,hobo,TH_W2395
34,Long Gulch,37.806,-119.715,2210,hobo,TH_W2210
35,TURNOUT B9,37.753,-119.814,1880,hobo,TH_W1880
36,40 MPH sign,37.774,-119.862,1714,hobo,TH_W1714
37,HOGDEN MDW,37.796,-119.859,1397,hobo,TH_W1397
38,Tioga Pass Entry Station,37.911,-119.257,3031,snowpillow,TES
39,Dana Meadows,37.897,-119.257,2987,snowpillow,DAN
40,Slide Canyon,38.092,-119.430,2804,snowpillow,SLI
41,Tuolumne Meadows,37.873,-119.350,2621,snowpillow,TUM
42,Horse Meadow,38.158,-119.662,2560,snowpillow,HRS
43,Paradise Meadow,38.047,-119.670,2332,snowpillow,PDS
44,Lower Kibbie Ridge,38.032,-119.877,2042,snowpillow,KIB
45,OSTRANDER LAKE,37.637,-119.550,2499,snowpillow,STR
46,TENAYA LAKE,37.838,-119.448,2484,snowpillow,TNY
47,GIN FLAT,37.767,-119.773,2149,snowpillow,GIN
48,Virginia Lakes,38.077,-119.234,2835,snowpillow,VRG
49,Bodie,38.217,-119.017,2551,coop,40943
50,Bridgeport,38.250,-119.233,1972,coop,41072
51,Cherry Valley Dam,37.967,-119.917,1452,coop,41697
52,Hetch Hetchy,37.967,-119.783,1180,coop,43939
53,Lee Vining,37.950,-119.117,2072,coop,44881
54,Mammoth Lakes,37.650,-118.967,2379,coop,45280
55,Mather,37.883,-119.850,1375,coop,45400
56,South Entr Yosemite,37.500,-119.650,1561,coop,48380
57,Yosemite Park Hdqtrs,37.750,-119.583,1209,coop,49855
58,White Wolf,37.851,-119.650,2446,RAWS,R58
59,Crane Flat,37.762,-119.825,2025,RAWS,R59
60,Gaylor Dump,37.868,-119.318,2825,RAWS,R60
61,Ellery Lake,37.933,-119.233,2940,RAWS,R61
62,Mariposa Grove,37.513,-119.605,1951,RAWS,R62
